Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
8010.2,May-1991,11964.1,villa,residential,Center,trapezoid,5,8751,5,0.889105201725222,1975,1985.0,street,91,5,8,NA,Yes, No
13129.0,May-1985,8920.3,open land,commercial,Outskirts,irregular,1,69430,6,0.5603986830603365,1970,0.0,highway,82,3,1,C,NA,NA
8372.8,December-1972,11195.8,villa,residential,Center,rectangle,5,7967,8,0.9514076125094042,1970,0.0,alley,36,4,7,NA,Yes,Yes
13830.8,September-2005,7807.3,duplex,commercial,Center,irregular,1,18453mts,7,0.7091276056403458,1990,2000.0,street,76,5,6,NA,Yes,NA
12534.5,October-1988,1731.7,land,residential,Border,irregular,5,33845,3,0.02821086794040395,1985,0.0,highway,39,4,5,C,NA,NA
7816.1,February-2007,8735.8,villa,residential,Center,irregular,1,14216mts,1,0.6714152226788321,2001,0.0,street,31,4,8,,Yes, No
12104.5,March-1991,1718.5,flat,commercial,Center,rectangle,1,12629mts,10,0.6358519584494152,1979,1988.0,street,26,3,3,NA,No,NA
14611.4,August-08,8164.1,duplex,commercial,Center,trapezoid,5,3379mts,9,0.26297476527232533,2008,0.0,street,50,3,9,NA,No,NA
12146.0,September-1970,6567.3,land,industrial,Outskirts,irregular,3,67301,4,0.04998585909940756,1963,0.0,highway,62,4,1,C,NA,NA
14301.3,July-2009,2097.6,open land,industrial,Border,trapezoid,2,39616,9,0.5139658960305472,2001,0.0,street,68,3,6,F,NA,NA
16745.7,January-1988,8387.9,land,industrial,Center,rectangle,3,11052,5,0.4436804049335292,1983,0.0,alley,16,3,10,F,NA,
14254.9,November-2009,10219.4,duplex,commercial,Border,irregular,1,31792mts,2,0.8723941343990703,2005,0.0,street,69,3,6,NA,Yes,NA
13037.6,September-1993,5229.5,flat,residential,Outskirts,trapezoid,4,77295,8,0.6720759989679783,1985,0.0,highway,27,1,4,,Yes,NA
12865.3,August-2005,6716.3,flat,residential,Outskirts,irregular,4,60946mts,1,0.16358676628741076,1990,2001.0,highway,44,4,9,NA,No,NA
13699.4,September-2005,8036.0,flat,residential,Center,trapezoid,3,4641,9,0.8732402193304022,2001,0.0,street,24,5,1,NA,No,
13712.4,July-1976,5528.5,land,residential,Center,rectangle,2,19357mts,10,0.03650368140114535,1961,0.0,alley,91,4,2,C,NA,NA
14439.0,May-1981,10125.6,land,residential,Center,irregular,3,13219,10,0.40102303795719607,1966,,alley,54,2,6,C,NA,NA
12494.9,March-2001,1758.1,flat,residential,Center,rectangle,4,21868,8,0.7527829937775028,1996,0.0,street,44,4,2,NA,No,NA
11555.3,September-1971,5938.1,duplex,residential,Border,irregular,1,34062,6,0.4087756671183763,1964,0.0,highway,90,3,3,NA,Yes,
13704.3,June-2008,8610.2,flat,commercial,Outskirts,rectangle,3,59350,3,0.6595952231309979,2006,0.0,highway,87,3,5,,No,
13509.8,Aug-1977,11024.1,flat,residential,Border,rectangle,2,23686,5,0.20226421588769639,1974,0.0,street,81,1,7,NA,Yes,NA
15885.7,October-1994,10203.0,land,residential,Center,rectangle,2,23253,10,0.6692250673659859,1990,,alley,32,5,1,C,NA,
12748.2,December-00,4438.0,flat,residential,Center,irregular,5,20542,1,0.33181176238020116,2000,0.0,alley,81,1,1,,Yes,NA
12720.0,December-1975,1681.0,open land,residential,Outskirts,rectangle,3,61410,4,0.17415279367450476,1959,0.0,highway,67,3,6,C,NA,NA
12667.4,Sep-2001,1806.4,duplex,residential,Border,irregular,3,30674,4,0.35479837539905845,1999,0.0,highway,34,2,9,NA,Yes,NA
14401.9,May-2007,10331.0,duplex,residential,Border,rectangle,4,39171,10,0.07350106252446742,1992,2001.0,highway,41,3,6,,No,NA
15078.5,January-1998,10111.4,flat,residential,Center,trapezoid,1,2670,3,0.9274890739421635,1998,0.0,street,25,3,8,NA,Yes,NA
13931.6,Jun-1972,7572.6,open land,commercial,Border,irregular,5,39572mts,7,0.054475035043399345,1959,0.0,highway,43,2,7,F,NA,NA
14160.2,December-2008,2038.5,open land,residential,Outskirts,irregular,1,50785mts,2,0.55478982006382,1999,0.0,highway,0,1,3,F,NA,NA
13661.8,November-1982,6917.9,flat,commercial,Center,rectangle,2,13657,4,0.5360482855842579,1976,0.0,street,3,3,2,NA,Yes,NA
13771.1,March-2009,4119.9,duplex,residential,Outskirts,rectangle,3,66385,8,0.6305406027301531,2006,0.0,highway,11,1,1,,Yes,NA
13443.9,October-1996,4445.1,duplex,residential,Center,trapezoid,3,16129mts,3,0.6612284126298953,1982,1990.0,alley,71,5,2,NA,No,
6456.1,January-1998,3269.0,villa,residential,Border,trapezoid,5,38105mts,10,0.06850660175745404,1998,0.0,highway,20,4,7,NA,Yes, No
12748.2,October-1984,2553.1,duplex,residential,Border,rectangle,2,25252,7,0.1265335012620813,1973,1982.0,street,77,5,10,NA,Yes,NA
7091.4,May-1987,9416.3,villa,residential,Center,irregular,3,18692,4,0.38080864440459394,1969,1977.0,alley,81,1,9,NA,Yes, No
12617.1,September-1972,11384.6,flat,residential,Outskirts,irregular,3,51342,7,0.916102854037739,1966,0.0,highway,7,1,6,,No,NA
7926.2,July-2009,9541.6,villa,residential,Outskirts,rectangle,5,74815,1,0.3448958266128982,2005,0.0,highway,95,3,4,NA,Yes,Yes
13972.9,February-89,7424.2,open land,residential,Border,trapezoid,2,36701mts,4,0.31648288938410596,1977,0.0,street,74,5,3,C,NA,NA
14945.3,June-2000,5876.8,open land,commercial,Center,irregular,3,7332,4,0.9207435908929701,1993,0.0,alley,80,1,3,F,NA,NA
17427.5,June-1993,11921.6,open land,commercial,Center,trapezoid,2,20158,1,0.5556674207562274,1985,0.0,alley,39,5,5,F,NA,NA
10898.0,May-1995,3990.6,flat,commercial,Border,irregular,2,36141,10,0.7697444562237299,1979,1987.0,highway,96,3,4,NA,No,
6267.0,September-1994,4822.6,villa,residential,Outskirts,trapezoid,5,68174,9,0.8863044304912522,1975,1985.0,highway,84,1,8,NA,Yes,Yes
5493.9,February-1985,2494.0,villa,residential,Border,trapezoid,5,31770,7,0.32060799747123847,1974,1985.0,highway,4,1,1,,Yes,Yes
14131.7,June-1995,6398.0,duplex,commercial,Center,irregular,4,10508,7,0.6386943669388707,1981,1992.0,alley,20,3,8,,Yes,NA
13667.4,September-1999,7290.3,flat,residential,Outskirts,trapezoid,5,68420,9,0.7950272372652806,1986,1997.0,highway,31,2,6,NA,Yes,NA
14094.4,June-1994,3764.4,open land,residential,Border,trapezoid,5,35975,9,0.556661004969827,1989,,highway,53,1,1,F,NA,NA
13712.6,December-97,10184.6,duplex,residential,Center,irregular,1,17626,1,0.5221326785510798,1983,1992.0,street,80,4,6,NA,No,
14365.5,August-1989,11276.8,land,industrial,Border,irregular,1,40249,7,0.3295064723025699,1971,0.0,highway,28,2,10,C,NA,NA
13444.5,Apr-1984,2249.2,villa,residential,Center,trapezoid,5,12579,7,0.7094969225570499,1984,0.0,street,49,5,6,NA,Yes, No
14162.0,September-1972,7162.9,open land,industrial,Center,irregular,4,16399mts,3,0.9715846082847528,1964,0.0,street,56,3,6,F,NA,
15617.8,Nov-1979,7708.0,open land,commercial,Center,rectangle,5,13591mts,10,0.8057672908859731,1965,0.0,street,39,5,7,F,NA,NA
10493.5,May-1978,2523.2,flat,residential,Center,irregular,1,9906,5,0.6595160305470184,1959,1970.0,street,78,4,1,NA,No,NA
21748.3,April-1974,4049.2,open land,commercial,Center,irregular,4,3266mts,3,0.6548883864010948,1967,0.0,alley,5,1,5,F,NA,
21246.7,April-1970,7199.6,open land,residential,Border,rectangle,1,35114,5,0.8925779904514897,1951,0.0,street,55,4,8,C,NA,NA
13873.9,October-87,10137.9,duplex,residential,Border,rectangle,1,24035,1,0.5513508494526579,1976,1984.0,highway,76,5,1,,Yes,
5751.4,August-1975,6579.9,villa,residential,Outskirts,rectangle,3,53130mts,9,0.6374640822751484,1957,1967.0,highway,78,1,6,NA,Yes, No
13512.0,June-1992,6108.1,open land,industrial,Outskirts,irregular,3,68948,3,0.09068373394482321,1980,0.0,highway,74,3,1,F,NA,NA
13828.2,March-2004,4101.9,open land,industrial,Center,rectangle,1,4210,9,0.7976904913941303,1989,0.0,street,36,1,1,C,NA,
8177.8,May-00,11632.6,villa,residential,Center,irregular,4,23507,5,0.03677538973431094,1988,1999.0,street,4,1,8,NA,Yes,Yes
13888.0,July-1979,8824.6,duplex,commercial,Center,trapezoid,5,22865,7,0.6187591568959531,1962,1973.0,street,20,2,7,,No,NA
12766.4,May-2004,4334.5,open land,industrial,Center,irregular,4,12861,9,0.12779476431149928,1985,0.0,street,53,1,1,C,NA,
13797.2,August-1986,11307.3,flat,commercial,Border,trapezoid,5,24093,3,0.40864954681648735,1983,0.0,street,54,2,4,NA,Yes,NA
