Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
12992.3,September-1989,8448.3,flat,commercial,Border,rectangle,4,36063,2,0.3711161087000585,1975,1985,street,70,5,4,NA,No,NA
4838.5,January-1980,5704.5,villa,residential,Border,irregular,1,28161,7,0.5401169165772048,1968,1979,street,94,4,5,NA,Yes, No
11793.4,May-1993,4359.0,flat,commercial,Border,trapezoid,1,20212,7,0.5185416277498042,1986,0,highway,97,1,6,NA,No,NA
13096.4,December-1985,5690.6,flat,commercial,Center,rectangle,5,15261,6,0.5035073580497759,1974,1983,alley,76,1,6,NA,No,NA
21049.5,April-1974,8062.7,duplex,commercial,Outskirts,rectangle,1,62586,2,0.6447734872956719,1959,1970,highway,22,2,5,NA,Yes,NA
4968.0,September-1977,872.1,villa,residential,Border,rectangle,1,24934,8,0.0797859536169857,1968,0,street,81,5,8,NA,Yes, No
7988.0,August-1997,9270.3,villa,residential,Outskirts,rectangle,2,75952,6,0.32903954368621047,1988,0,highway,60,2,10,NA,Yes,Yes
7561.4,July-1997,10326.1,villa,residential,Border,trapezoid,4,31154,1,0.8634054483137813,1978,1988,highway,66,5,6,NA,Yes, No
5895.8,February-2007,6035.8,villa,residential,Outskirts,irregular,1,72267,2,0.07759904936957218,2007,0,highway,96,1,1,NA,Yes,Yes
13687.5,January-1988,7699.3,duplex,commercial,Center,irregular,5,14291,5,0.8056386420269824,1987,0,alley,46,1,2,NA,Yes,NA
13041.4,October-1990,5976.2,flat,commercial,Outskirts,rectangle,2,58210,3,0.8615287023342654,1988,0,highway,58,3,2,NA,Yes,NA
13700.6,December-2000,5622.7,duplex,commercial,Outskirts,rectangle,3,63764,9,0.6193850650195171,1998,0,highway,50,2,9,NA,No,NA
15057.3,August-1997,2400.7,open land,residential,Center,irregular,3,3888,2,0.9285169215593493,1995,0,alley,71,5,10,F,NA,NA
6828.0,January-1992,8242.8,villa,residential,Border,rectangle,1,36480,8,0.027881529125630355,1975,1986,highway,50,4,3,NA,Yes,Yes
12798.5,June-1991,8256.1,flat,residential,Center,irregular,4,7161,9,0.028296161512904705,1981,1989,street,26,5,1,NA,Yes,NA
13253.2,December-1970,6345.7,flat,commercial,Center,rectangle,5,2654,6,0.7452258992133368,1960,1971,alley,45,2,4,NA,Yes,NA
5214.3,December-1981,2913.0,villa,residential,Border,irregular,4,31414,7,0.4795231445457777,1977,0,highway,6,5,6,NA,Yes, No
