Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
14738.8,March-1997,6190.3,open land,commercial,Border,irregular,5,34237,8,0.4146925915644366,1979,0,highway,37,4,10,F,NA,NA
13300.7,March-1987,6331.8,flat,residential,Border,trapezoid,5,38017,3,0.8250314564253101,1982,0,highway,43,4,6,NA,Yes,NA
13079.4,June-1985,3659.8,open land,residential,Outskirts,trapezoid,3,52821,8,0.5190651320062372,1972,0,highway,79,5,5,C,NA,NA
22244.3,April-1999,10537.1,duplex,residential,Outskirts,rectangle,3,69082,1,0.6920444939457968,1984,1993,highway,91,2,9,NA,Yes,NA
12444.6,May-1988,1911.6,flat,commercial,Border,rectangle,4,33045,10,0.3184257598432444,1985,0,street,4,5,4,NA,Yes,NA
13420.0,July-1985,5334.5,duplex,commercial,Border,rectangle,2,38284,4,0.7660780559936137,1970,1979,street,65,5,7,NA,Yes,NA
13419.5,January-1995,9591.4,duplex,commercial,Outskirts,rectangle,5,57837,5,0.19616714102355326,1985,1995,highway,79,1,2,NA,No,NA
12184.7,June-1979,8872.8,flat,commercial,Center,irregular,2,8298,5,0.3837606176053736,1960,1971,street,74,4,6,NA,No,NA
13691.2,January-1976,9921.8,duplex,commercial,Outskirts,trapezoid,4,63900,9,0.9896791261310004,1972,0,highway,57,3,4,NA,Yes,NA
11377.3,September-1987,2977.8,flat,commercial,Center,irregular,3,9925,5,0.5033202349608658,1985,0,street,44,1,3,NA,No,NA
21400.9,April-1970,10787.9,open land,residential,Border,trapezoid,2,30807,4,0.44970895676433054,1955,0,street,42,4,2,C,NA,NA
6489.1,May-2006,8617.3,villa,residential,Outskirts,irregular,2,77298,10,0.3515224804297924,1992,2003,highway,73,2,6,NA,Yes, No
14601.0,December-1973,10132.4,open land,commercial,Outskirts,rectangle,5,50913,8,0.8672888006919766,1969,0,highway,73,1,10,C,NA,NA
15046.8,January-2002,7560.4,open land,commercial,Outskirts,irregular,5,77096,9,0.8443261004315169,1988,0,highway,49,5,6,F,NA,NA
16847.6,December-2004,10846.8,open land,commercial,Center,trapezoid,5,11643,3,0.9346352065794993,1996,0,street,22,3,2,F,NA,NA
13154.5,February-2003,8718.1,duplex,commercial,Outskirts,rectangle,5,50698,10,0.7120842503810668,1986,1995,highway,99,2,2,NA,No,NA
14901.9,August-2002,7661.1,duplex,residential,Center,rectangle,5,12386,5,0.7067758084299028,1989,1997,alley,64,5,8,NA,No,NA
5838.8,January-1983,8593.5,villa,residential,Border,irregular,2,39048,4,0.5976153060106529,1970,1979,highway,78,3,4,NA,Yes,Yes
12283.4,January-1980,7091.3,duplex,residential,Outskirts,irregular,4,54726,6,0.15526919148674845,1967,1978,highway,38,1,3,NA,Yes,NA
13493.0,November-2003,1099.8,duplex,residential,Outskirts,rectangle,4,66416,3,0.1137434698612676,1993,2002,highway,50,5,9,NA,Yes,NA
12971.9,November-1998,5680.9,flat,residential,Outskirts,trapezoid,1,64187,7,0.7532893942951753,1989,0,highway,60,1,4,NA,Yes,NA
6533.7,October-1972,11335.7,villa,residential,Center,irregular,5,7700,8,0.5920237325921621,1972,0,street,55,3,5,NA,Yes, No
12922.1,August-1975,11018.9,flat,residential,Center,irregular,5,9653,8,0.740694743283292,1970,0,alley,94,3,1,NA,Yes,NA
7063.1,January-1992,9741.9,villa,residential,Border,trapezoid,4,25801,5,0.9743055450151364,1982,1990,street,35,5,1,NA,Yes, No
12125.4,November-1983,1953.6,open land,commercial,Border,irregular,1,21463,7,0.6430739711204382,1977,0,highway,50,3,5,C,NA,NA
7291.0,August-1987,7162.4,villa,residential,Outskirts,rectangle,4,70187,4,0.9357377996279468,1972,1980,highway,43,5,9,NA,Yes, No
12422.2,July-1970,991.2,open land,industrial,Border,trapezoid,5,24249,2,0.8740952309629504,1970,0,highway,63,1,9,C,NA,NA
14064.0,August-1989,8658.5,flat,commercial,Center,rectangle,2,8887,10,0.8390290972447086,1989,0,street,16,5,7,NA,No,NA
13165.1,November-1993,4016.8,duplex,residential,Center,trapezoid,3,2295,6,0.17074977332004837,1986,0,street,92,5,5,NA,Yes,NA
14161.1,August-2006,8380.3,open land,industrial,Border,irregular,4,21877,8,0.010719107196784927,2006,0,street,36,1,9,C,NA,NA
12249.4,December-2005,4349.8,flat,residential,Border,trapezoid,4,28600,5,0.21993288655564835,1999,0,street,98,5,4,NA,No,NA
13094.0,September-1980,4716.6,flat,commercial,Center,rectangle,4,18744,7,0.12612426391537468,1968,1979,street,17,5,4,NA,Yes,NA
5924.8,July-2000,2463.9,villa,residential,Outskirts,irregular,5,79536,6,0.4635213607962637,1997,0,highway,54,4,10,NA,Yes, No
5398.2,December-2004,2300.0,villa,residential,Outskirts,irregular,3,75696,10,0.2704768461353536,1992,2000,highway,42,2,6,NA,Yes, No
13268.7,November-1975,6554.7,duplex,residential,Center,rectangle,1,22149,5,0.5667140325061247,1966,0,alley,54,1,1,NA,No,NA
12244.0,September-2004,4035.3,duplex,commercial,Outskirts,irregular,1,53779,3,0.25682119095904943,1987,1998,highway,11,3,2,NA,No,NA
6377.6,July-1999,6747.0,villa,residential,Outskirts,irregular,5,68547,10,0.43118462054573503,1989,1998,highway,35,3,8,NA,Yes, No
13132.9,November-1982,5411.1,duplex,commercial,Outskirts,irregular,1,62640,1,0.21015026666185155,1976,0,highway,24,4,10,NA,Yes,NA
13286.9,August-1974,8712.2,open land,industrial,Outskirts,irregular,1,79235,7,0.14383973470106415,1957,0,highway,56,4,9,C,NA,NA
12417.7,June-1976,2653.3,duplex,commercial,Border,rectangle,3,29723,2,0.8664087568435197,1958,1968,street,77,1,8,NA,Yes,NA
15378.8,July-1982,6474.7,open land,commercial,Outskirts,rectangle,5,68247,2,0.8179326844873215,1973,0,highway,74,3,10,F,NA,NA
20088.2,April-2000,2577.3,flat,residential,Center,irregular,1,22790,3,0.9395809016076899,1990,2001,alley,42,5,7,NA,No,NA
12558.8,September-1992,6497.8,duplex,commercial,Center,irregular,4,13333,4,0.5929463408395563,1982,1993,street,95,2,6,NA,No,NA
12804.6,July-1979,3443.5,flat,residential,Center,trapezoid,5,24341,6,0.9716367431821137,1974,0,street,38,4,10,NA,No,NA
12388.5,May-2008,1641.1,duplex,commercial,Outskirts,irregular,2,75101,4,0.9639290412412512,2004,0,highway,58,3,2,NA,Yes,NA
14604.6,December-1987,10574.9,open land,industrial,Outskirts,trapezoid,4,51101,7,0.6294536596251328,1987,0,highway,58,1,7,C,NA,NA
8501.5,October-1987,9413.2,villa,residential,Center,trapezoid,3,14317,1,0.27097692669069207,1986,0,alley,36,3,7,NA,Yes,Yes
13638.6,October-1980,4947.2,flat,commercial,Center,trapezoid,4,25360,10,0.4736711103582537,1974,0,alley,56,5,9,NA,Yes,NA
12376.2,October-1974,5838.2,duplex,residential,Center,irregular,4,4371,2,0.0897142019337791,1959,1970,alley,88,2,8,NA,No,NA
12350.2,August-1987,8267.9,flat,commercial,Center,irregular,5,24984,2,0.18562927356083103,1975,1985,street,86,4,4,NA,No,NA
14988.6,June-1993,10800.5,open land,industrial,Center,irregular,3,18683,2,0.6121082878645012,1991,0,street,35,1,8,C,NA,NA
6479.3,March-2008,3688.1,villa,residential,Border,trapezoid,3,28683,5,0.06910106928094428,2001,0,street,98,1,9,NA,Yes,Yes
7995.1,January-2000,9146.1,villa,residential,Outskirts,rectangle,1,62507,5,0.6473876301260654,1987,1997,highway,39,2,10,NA,Yes, No
12807.5,March-1993,2833.9,duplex,residential,Border,trapezoid,2,26793,5,0.7407332133165108,1983,1992,highway,40,1,10,NA,No,NA
14294.0,April-2004,6002.0,villa,residential,Outskirts,trapezoid,2,58560,6,0.4428366152093327,1995,0,highway,32,1,6,NA,Yes, No
12916.7,July-1994,5584.5,open land,residential,Outskirts,irregular,3,60444,4,0.9820794285710323,1993,0,highway,82,1,1,C,NA,NA
14168.0,March-1997,6971.4,duplex,commercial,Outskirts,rectangle,1,50688,3,0.42890318858274756,1986,1997,highway,21,3,10,NA,No,NA
13044.2,November-1998,8125.1,flat,commercial,Center,irregular,2,14985,2,0.23970244692605125,1980,1988,street,89,2,6,NA,Yes,NA
11847.0,August-1970,8243.0,flat,commercial,Center,irregular,4,7286,1,0.2104407052256444,1962,0,street,48,1,3,NA,No,NA
15127.2,March-1996,11130.5,duplex,residential,Border,trapezoid,4,30435,6,0.9286826515430783,1986,1996,highway,9,4,7,NA,Yes,NA
6532.7,October-1998,6563.8,villa,residential,Outskirts,trapezoid,4,58242,2,0.9540398778334931,1979,1990,highway,57,5,1,NA,Yes, No
14647.1,December-1972,4862.4,open land,industrial,Center,rectangle,1,4739,3,0.6877109925482016,1967,0,street,14,5,3,F,NA,NA
13956.5,February-1975,3024.2,open land,commercial,Border,trapezoid,2,22469,2,0.3096599207543417,1964,0,highway,55,2,8,F,NA,NA
11440.3,December-1985,3213.9,flat,commercial,Outskirts,irregular,1,80140,9,0.5966097544291803,1981,0,highway,18,3,5,NA,No,NA
12653.1,September-1971,6694.9,flat,commercial,Outskirts,trapezoid,1,78396,4,0.0684774187056506,1957,1967,highway,69,2,8,NA,Yes,NA
15026.5,November-1992,9476.9,open land,industrial,Border,irregular,5,34445,9,0.27578794312365673,1982,0,street,6,1,9,F,NA,NA
15288.5,January-2009,5905.9,open land,residential,Outskirts,trapezoid,3,53716,10,0.792722134937701,1998,0,highway,52,2,5,F,NA,NA
6697.6,February-1988,3504.6,villa,residential,Center,trapezoid,3,18765,8,0.8349273558628508,1983,0,alley,67,5,3,NA,Yes,Yes
12534.1,September-1987,4039.6,flat,commercial,Center,rectangle,5,17758,6,0.9783196717205751,1977,1987,alley,74,1,1,NA,No,NA
5541.4,June-1973,2267.6,villa,residential,Outskirts,rectangle,5,79391,3,0.6693269245260686,1960,1970,highway,0,3,1,NA,Yes, No
15873.1,July-2001,11225.5,open land,residential,Border,irregular,3,27790,3,0.6568945505889779,1984,0,highway,27,2,8,F,NA,NA
6547.7,January-1985,5955.1,villa,residential,Outskirts,rectangle,2,74241,6,0.5949134179123399,1966,1976,highway,73,3,9,NA,Yes, No
6265.4,March-1975,7949.6,villa,residential,Center,irregular,1,2735,1,0.03490397810198187,1973,0,street,37,1,7,NA,Yes, No
12117.4,July-1992,7444.8,flat,commercial,Border,irregular,1,39638,1,0.06830985486915286,1977,1988,highway,78,1,8,NA,No,NA
12119.8,January-1986,8365.3,flat,residential,Outskirts,irregular,4,67902,7,0.14216162871310667,1969,1980,highway,46,1,7,NA,No,NA
14411.8,June-2001,3600.8,open land,residential,Border,trapezoid,4,38213,6,0.6932540317912218,1983,0,highway,52,5,1,F,NA,NA
7335.5,July-1997,9683.3,villa,residential,Border,rectangle,4,34242,5,0.31966351024204476,1993,0,highway,98,3,5,NA,Yes,Yes
11890.9,November-1999,6619.4,flat,residential,Border,irregular,1,38696,10,0.6462756356110407,1983,1991,street,95,3,8,NA,No,NA
